player           ID,season  ID,match    ID,match date,home/away?,win/loss?,player style,player L/R?,opp    style,opp L/R?,player sets,opp. sets,game ID,player games,opp. games,server,point ID,player point,opp. point,serve result,serve location,return: cross/line,result,point winner,shot type,fore/back,cross/line,point length,error  pos.,comments
,,,,,,,,,,1,0,,2,3,O,,0,0,s,b,c,w,p,t,b,c,m,,
,,,,,,,,,,1,0,,2,3,O,,1,0,f,w,c,w,p,s,b,l,m,,
,,,,,,,,,,1,0,,2,3,O,,2,0,f,c,l,u,o,t,f,c,s,n,
,,,,,,,,,,1,0,,2,3,O,,2,1,f,b,c,u,p,t,f,c,m,l,
,,,,,,,,,,1,0,,2,3,O,,3,1,f,c,c,w,o,t,f,c,s,,
,,,,,,,,,,1,0,,2,3,O,,3,2,d,,,d,o,,,,,,
,,,,,,,,,,1,0,,2,3,O,,3,3,f,c,c,w,p,t,f,c,s,,
,,,,,,,,,,1,0,,3,3,P,,0,0,f,,,a,o,,,,,,
,,,,,,,,,,1,0,,3,3,P,,0,1,f,c,c,w,o,t,f,c,s,,
,,,,,,,,,,1,0,,3,3,P,,0,2,f,c,l,w,o,t,f,c,s,,
,,,,,,,,,,1,0,,3,3,P,,0,3,f,c,c,w,o,t,f,c,s,,
,,,,,,,,,,1,0,,3,4,O,,0,0,s,b,c,u,p,t,f,c,s,l,
,,,,,,,,,,1,0,,3,4,O,,1,0,f,b,c,u,p,t,f,c,s,n,
,,,,,,,,,,1,0,,3,4,O,,2,0,f,b,c,w,o,o,b,l,s,,
,,,,,,,,,,1,0,,3,4,O,,2,1,s,c,l,w,p,t,f,c,s,,
,,,,,,,,,,1,0,,3,4,O,,3,1,f,b,c,f,p,t,f,l,s,w,
,,,,,,,,,,1,0,,4,4,P,,0,0,s,b,c,u,o,t,f,c,s,n,
,,,,,,,,,,1,0,,4,4,P,,0,1,f,b,c,u,p,t,f,l,s,l,
,,,,,,,,,,1,0,,4,4,P,,1,1,f,b,c,w,o,t,f,l,s,,
,,,,,,,,,,1,0,,4,4,P,,1,2,f,c,l,u,o,t,b,l,s,l,
,,,,,,,,,,1,0,,4,4,P,,1,3,f,b,c,u,o,t,f,c,s,l,
,,,,,,,,,,1,0,,4,5,O,,0,0,f,b,c,f,p,s,f,c,s,l,
,,,,,,,,,,1,0,,4,5,O,,1,0,f,b,c,f,p,t,b,c,m,l,
,,,,,,,,,,1,0,,4,5,O,,2,0,f,b,c,f,p,s,f,c,m,n,
,,,,,,,,,,1,0,,4,5,O,,3,0,f,w,c,f,p,t,b,c,s,w,
,,,,,,,,,,1,0,,5,5,P,,0,0,f,w,c,f,p,t,f,l,s,l,
,,,,,,,,,,1,0,,5,5,P,,1,0,f,b,l,f,p,t,f,c,s,l,
,,,,,,,,,,1,0,,5,5,P,,2,0,s,b,c,w,p,t,f,c,s,,
,,,,,,,,,,1,0,,5,5,P,,3,0,f,c,l,w,o,s,b,c,s,,
,,,,,,,,,,1,0,,5,5,P,,3,1,d,,,d,p,,,,,,
,,,,,,,,,,2,0,,6,5,O,,0,0,s,w,l,f,p,t,f,c,s,n,
,,,,,,,,,,2,0,,6,5,O,,1,0,f,b,c,w,p,t,f,c,s,,
,,,,,,,,,,2,0,,6,5,O,,2,0,f,b,c,w,p,t,f,c,m,,
,,,,,,,,,,2,0,,6,5,O,,3,0,f,b,c,u,o,s,b,c,s,,
,,,,,,,,,,2,0,,6,5,O,,3,1,f,b,c,u,o,t,b,c,m,,
,,,,,,,,,,2,0,,6,5,O,,3,2,s,b,c,w,p,t,b,c,s,,
